time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
592983,18:16:24.595,1.750,-3.920,-0.070,-0.261,0.956,0.141
592997,18:16:24.596,1.960,-4.690,-0.210,-0.258,0.959,0.142
593051,18:16:24.734,1.260,-0.560,-0.770,-0.259,0.960,0.141
593065,18:16:24.736,-0.140,-2.030,0.070,-0.261,0.960,0.143
593079,18:16:24.745,-1.050,-2.310,1.750,-0.260,0.957,0.142
593092,18:16:24.746,0.770,-0.980,0.000,-0.261,0.957,0.140
593107,18:16:24.748,0.210,-1.750,0.840,-0.259,0.957,0.140
593121,18:16:24.756,0.700,-1.470,0.560,-0.260,0.959,0.141
593134,18:16:24.757,3.850,-0.700,0.280,-0.262,0.957,0.142
593148,18:16:24.759,0.840,-2.170,0.000,-0.260,0.956,0.142
593162,18:16:24.773,-0.350,-1.540,1.330,-0.261,0.958,0.139
593175,18:16:24.775,1.610,-4.900,0.070,-0.258,0.959,0.141
593229,18:16:24.911,3.640,-4.130,1.120,-0.259,0.959,0.141
593243,18:16:24.913,0.630,-1.820,0.490,-0.259,0.958,0.141
593256,18:16:24.921,3.290,-2.380,-1.330,-0.259,0.960,0.139
593270,18:16:24.923,0.700,-3.150,-0.630,-0.260,0.957,0.143
593284,18:16:24.925,3.640,-3.850,0.490,-0.259,0.959,0.141
593298,18:16:24.933,-0.910,-1.960,1.610,-0.260,0.957,0.142
593311,18:16:24.935,2.450,-2.100,-0.770,-0.259,0.957,0.141
593325,18:16:24.937,-1.890,0.140,0.910,-0.258,0.957,0.142
593339,18:16:24.950,-1.750,-1.330,0.490,-0.260,0.959,0.142
593352,18:16:24.951,0.910,-3.360,0.490,-0.260,0.958,0.140
593406,18:16:25.089,1.820,-1.190,-0.490,-0.258,0.959,0.141
593421,18:16:25.091,3.430,-2.310,-1.400,-0.260,0.957,0.142
593434,18:16:25.099,4.550,-0.490,0.210,-0.262,0.957,0.143
593448,18:16:25.101,-0.350,-2.240,0.700,-0.257,0.956,0.143
593462,18:16:25.103,-0.910,-2.520,1.750,-0.260,0.958,0.142
593475,18:16:25.110,2.310,-1.960,-0.630,-0.259,0.961,0.142
593489,18:16:25.111,3.430,-4.970,0.770,-0.260,0.958,0.142
593503,18:16:25.112,-0.490,-2.380,1.190,-0.260,0.958,0.141
593516,18:16:25.128,1.470,-1.960,-0.070,-0.259,0.960,0.142
593530,18:16:25.129,-0.350,-1.540,1.120,-0.259,0.957,0.142
593585,18:16:25.267,1.540,-3.430,0.000,-0.261,0.958,0.143
593598,18:16:25.269,-1.680,-1.680,-0.140,-0.260,0.956,0.142
593612,18:16:25.277,0.630,-2.450,0.630,-0.258,0.959,0.142
